date,open,high,low,close,volume,amount,return
2010-11-29,4500.1,4548.66,4473.15,4527.28,,36378240.0,
2010-11-30,4521.28,4533.43,4283.99,4409.87,,46640865.0,-0.025933894082097786
2010-12-01,4392.97,4428.71,4372.36,4409.05,,27473115.0,-0.00018594652450065752
2010-12-02,4460.64,4477.24,4421.75,4427.14,,34972402.0,0.004102924666311347
2010-12-03,4426.76,4434.0,4355.91,4394.05,,27910810.0,-0.007474351387125822
2010-12-06,4397.34,4406.53,4300.1,4325.28,,25073850.0,-0.015650709482140757
2010-12-07,4307.32,4382.07,4250.61,4378.61,,23920585.0,0.012329837605889127
2010-12-08,4377.64,4422.06,4362.07,4372.63,,25531455.0,-0.0013657302203209376
2010-12-09,4352.73,4355.13,4285.26,4286.65,,26247367.0,-0.019663223277524122
2010-12-10,4266.19,4353.99,4254.21,4348.96,,23887489.0,0.014535826344581615
2010-12-13,4370.78,4471.9,4370.78,4471.09,,35833932.0,0.028082576064162534
2010-12-14,4488.88,4522.36,4472.71,4521.57,,38422949.0,0.011290311758430205
2010-12-15,4519.63,4545.63,4493.12,4509.6,,34362057.0,-0.0026473105580582246
2010-12-16,4500.37,4520.82,4476.08,4488.41,,27409574.0,-0.00469886464431446
2010-12-17,4483.9,4495.99,4460.16,4492.76,,24268629.0,0.0009691627992987062
2010-12-20,4505.27,4521.7,4340.52,4438.66,,36108546.0,-0.012041595811928651
2010-12-21,4436.97,4487.47,4402.84,4486.53,,29831818.0,0.01078478639949898
2010-12-22,4486.6,4487.31,4425.83,4442.32,,29609262.0,-0.009853940573226971
2010-12-23,4432.03,4441.15,4347.92,4356.68,,26007123.0,-0.01927821498676352
2010-12-24,4337.5,4337.5,4247.21,4286.71,,22705567.0,-0.016060394612411377
2010-12-27,4286.62,4341.17,4152.67,4168.64,,25412914.0,-0.027543267447529662
2010-12-28,4145.4,4151.08,4052.92,4078.35,,21976043.0,-0.02165934213556464
2010-12-29,4077.39,4142.37,4071.79,4141.56,,16451796.0,0.015498915002390756
2010-12-30,4140.34,4172.41,4111.62,4156.22,,18244373.0,0.003539728991008184
2010-12-31,4164.14,4256.91,4164.14,4256.27,,21975803.0,0.024072354206466473
2011-01-04,4278.04,4307.39,4246.62,4306.72,,29299000.0,0.0118531014244867
2011-01-05,4287.11,4324.93,4266.65,4309.8,,28162300.0,0.0007151614221494462
2011-01-06,4309.9,4335.28,4284.08,4291.06,,25496922.0,-0.004348229616223387
2011-01-07,4283.27,4320.17,4253.18,4281.99,,25271047.0,-0.002113696848797364
2011-01-10,4280.42,4287.59,4159.71,4169.48,,24170739.0,-0.026275166452981003
2011-01-11,4154.65,4158.48,4097.86,4144.8,,21485202.0,-0.005919203353895286
2011-01-12,4151.71,4171.65,4106.48,4163.7,,20024660.0,0.004559930515344535
2011-01-13,4180.17,4187.0,4154.5,4172.51,,21984947.0,0.0021159065254461318
2011-01-14,4162.44,4162.44,4083.0,4089.33,,22601232.0,-0.01993524281547565
