date,open,high,low,close,amount,daily_return,return,net_value
2008-05-26,3811.3201,3811.3201,3703.3,3708.1399,975000.0,-0.03531082,-0.03531082,1.0
2008-05-27,3693.8999,3752.3601,3669.71,3718.9099,924000.0,0.0029044199999999996,0.0029044199999999996,1.0029044211627507
2008-05-28,3719.26,3833.47,3687.23,3806.97,991000.0,0.023679009999999997,0.023679009999999997,1.0266522037100057
2008-05-29,3798.5601,3807.52,3703.52,3708.52,879000.0,-0.025860460000000002,-0.025860460000000002,1.000102504223209
2008-05-30,3707.8301,3742.5801,3661.01,3734.0,944000.0,0.00687067,0.00687067,1.0069738738821585
2008-06-02,3723.78,3780.49,3705.3999,3755.8501,953000.0,0.00585166,0.00585166,1.012866343041696
2008-06-03,3768.1201,3771.8,3735.49,3757.3,857000.0,0.00038604,0.00038604,1.0132573477068652
2008-06-04,3736.1299,3736.1299,3659.3601,3675.0601,839000.0,-0.02188803,-0.02188803,0.9910791391662435
2008-06-05,3635.23,3655.9299,3596.0901,3613.75,755000.0,-0.01668275,-0.01668275,0.9745452160529327
2008-06-06,3630.29,3649.9299,3586.5601,3603.4099,556000.0,-0.00286132,-0.00286132,0.9717567290274026
2008-06-10,3465.79,3468.96,3307.3401,3326.5701,810000.0,-0.07682717,-0.07682717,0.8970994055537117
2008-06-11,3280.1399,3297.3501,3225.72,3256.8799,701000.0,-0.02094957,-0.02094957,0.8783055623117132
2008-06-12,3248.52,3268.6799,3152.0901,3199.28,768000.0,-0.01768561,-0.01768561,0.8627721947599658
2008-06-13,3199.8201,3225.6001,3091.55,3096.49,642000.0,-0.0321291,-0.0321291,0.835052097144447
2008-06-16,3091.49,3115.6299,3013.1599,3048.6399,619000.0,-0.01545301,-0.01545301,0.822148026292104
2008-06-17,3048.9399,3080.99,2920.8899,2925.24,594000.0,-0.040477030000000004,-0.040477030000000004,0.7888699129177946
2008-06-18,2909.0801,3110.27,2861.3899,3093.8701,1006000.0,0.05764659,0.05764659,0.8343455704031015
2008-06-19,3073.7,3073.7,2854.8701,2854.8701,999000.0,-0.07724953,-0.07724953,0.769892770226927
2008-06-20,2893.47,3009.1201,2784.79,2903.52,1171000.0,0.01704102,0.01704102,0.7830125287344202
2008-06-23,2856.1699,2901.9399,2818.02,2826.27,606000.0,-0.02660564,-0.02660564,0.7621799813971419
2008-06-24,2810.3401,2868.3,2786.3201,2860.47,749000.0,0.01210075,0.01210075,0.7714029343930632
2008-06-25,2856.6899,2999.8301,2856.6899,2999.8301,1022000.0,0.0487193,0.0487193,0.8089851464342
2008-06-26,2988.8,3042.22,2947.73,3010.76,992000.0,0.00364351,0.00364351,0.8119326889473615
2008-06-27,2912.4299,2913.6299,2800.21,2825.0701,939000.0,-0.06167542,-0.06167542,0.761856395979019
2008-06-30,2804.9099,2835.3501,2753.5701,2795.79,554000.0,-0.01036438,-0.01036438,0.7539602267972684
2008-07-01,2801.26,2801.26,2708.6599,2715.8501,592000.0,-0.02859296,-0.02859296,0.7324022753294718
2008-07-02,2723.74,2758.6899,2700.28,2736.01,625000.0,0.00742305,0.00742305,0.7378389364435792
2008-07-03,2697.71,2845.4199,2669.22,2816.71,1164000.0,0.02949551,0.02949551,0.759601869390095
2008-07-04,2799.3,2825.97,2744.8101,2772.3999,944000.0,-0.01573115,-0.01573115,0.7476524550759263
2008-07-07,2779.96,2920.74,2779.96,2920.74,1207000.0,0.05350603,0.05350603,0.7876563664709629
2008-07-08,2938.48,2979.0701,2903.8501,2958.4099,1297000.0,0.01289738,0.01289738,0.7978150716481868
2008-07-09,2978.55,3058.9099,2978.55,3058.9099,1616000.0,0.03397095,0.03397095,0.8249176089607623
2008-07-10,3013.96,3073.8201,2998.95,2998.95,1418000.0,-0.01960172,-0.01960172,0.8087478037168985
2008-07-11,2986.47,3004.8601,2938.6599,2971.0,1023000.0,-0.009319929999999999,-0.009319929999999999,0.8012103318971325
2008-07-14,2945.77,3007.54,2945.77,3007.54,845000.0,0.01229889,0.01229889,0.8110643290454063
2008-07-15,3022.6299,3037.6599,2908.6101,2908.6101,1016000.0,-0.03289396,-0.03289396,0.7843852115719797
2008-07-16,2874.21,2874.21,2745.77,2786.24,824000.0,-0.04207168,-0.04207168,0.7513848115601032
2008-07-17,2826.3201,2838.4099,2739.26,2740.4399,619000.0,-0.01643796,-0.01643796,0.7390335785335391
2008-07-18,2767.22,2821.3301,2698.8101,2821.3301,729000.0,0.02951723,0.02951723,0.7608478040432077
2008-07-21,2805.15,2921.11,2786.5,2918.47,930000.0,0.0,0.0,0.7870441997077833
2008-07-22,2915.28,2939.17,2902.48,2921.41,854000.0,0.0010073600000000001,0.0010073600000000001,0.7878370500530467
2008-07-23,2934.3,2950.86,2885.53,2885.97,941000.0,-0.01213111,-0.01213111,0.7782796975917763
2008-07-24,2902.78,2955.52,2889.62,2952.94,1041000.0,0.02320536,0.02320536,0.7963399654905146
2008-07-25,2919.68,2935.75,2901.24,2909.39,790000.0,-0.01474803,-0.01474803,0.7845955326550651
2008-07-28,2926.85,2953.2,2924.3,2939.05,815000.0,0.01019463,0.01019463,0.7925941521246272
2008-07-29,2906.24,2906.24,2865.83,2887.27,880000.0,-0.01761795,-0.01761795,0.7786302776764167
2008-07-30,2915.21,2915.21,2842.87,2865.88,761000.0,-0.007408430000000001,-0.007408430000000001,0.7728618868991431
2008-07-31,2877.42,2877.42,2783.25,2783.51,650000.0,-0.028741560000000003,-0.028741560000000003,0.7506485933823587
2008-08-01,2765.61,2797.16,2702.91,2777.88,751000.0,-0.00202267,-0.00202267,0.749130311938878
2008-08-04,2759.8,2759.8,2683.91,2687.55,544000.0,-0.03251755,-0.03251755,0.7247703895961423
2008-08-05,2683.85,2695.04,2575.85,2582.16,769000.0,-0.03921421,-0.03921421,0.6963491318113428
2008-08-06,2597.73,2614.61,2550.19,2590.76,598000.0,0.00333058,0.00333058,0.6986683539097325
2008-08-07,2589.28,2612.05,2562.19,2592.37,508000.0,0.00062148,0.00062148,0.69910253386071
2008-08-08,2591.63,2591.63,2450.83,2455.95,624000.0,-0.05262372,-0.05262372,0.6623131991325354
2008-08-11,2449.03,2451.26,2310.3,2326.84,643000.0,-0.05257023,-0.05257023,0.6274952031879919
2008-08-12,2310.76,2377.0,2298.09,2360.44,559000.0,0.01444012,0.01444012,0.6365563499910022
2008-08-13,2350.22,2398.05,2300.95,2376.11,510000.0,0.006638659999999999,0.006638659999999999,0.6407821883958585
2008-08-14,2360.38,2396.96,2345.39,2375.97,382000.0,-5.8979999999999994e-05,-5.8979999999999994e-05,0.6407444336175125
2008-08-15,2374.71,2400.0,2342.03,2368.55,375000.0,-0.0031229,-0.0031229,0.6387434303651812
2008-08-18,2376.1,2378.26,2227.33,2228.15,423000.0,-0.05927683,-0.05927683,0.600880781224031
2008-08-19,2199.78,2267.42,2188.66,2262.47,341000.0,0.01540294,0.01540294,0.6101360954585343
2008-08-20,2251.57,2422.51,2223.46,2418.71,852000.0,0.06905726,0.06905726,0.6522704280925323
2008-08-21,2377.53,2413.26,2312.2,2318.93,707000.0,-0.041253399999999996,-0.041253399999999996,0.6253620582114499
2008-08-22,2297.75,2311.75,2239.3,2273.85,434000.0,-0.01943993,-0.01943993,0.6132050195840777
2008-08-25,2269.93,2290.74,2232.31,2254.34,322000.0,-0.00858016,-0.00858016,0.6079436215445917
2008-08-26,2232.55,2232.65,2148.0,2167.12,392000.0,-0.0386898,-0.0386898,0.5844223946351107
2008-08-27,2160.91,2191.2,2118.82,2157.4,355000.0,-0.00448531,-0.00448531,0.5818011343099542
2008-08-28,2155.26,2182.46,2144.64,2173.05,333000.0,0.00725417,0.00725417,0.5860215791750468
2008-08-29,2179.4,2256.54,2179.4,2233.28,515000.0,0.027716789999999998,0.027716789999999998,0.6022642241734192
2008-09-01,2217.11,2220.77,2164.96,2177.14,403000.0,-0.02513797,-0.02513797,0.5871245580567227
2008-09-02,2162.96,2190.66,2140.49,2172.64,290000.0,-0.00206693,-0.00206693,0.5859110116098909
